1822705,2
1822705,2
1822708,2
1822708,2
1822709,3
1822709,3
1822710,3
1822710,3
1822711,0
1822711,0
1822712,2
1822712,2
1822713,1
1822713,1
1822714,4
1822714,4
1822715,1
1822715,1
1822716,1
1822716,1
1822717,4
1822717,4
1822718,2
1822718,2
1822719,0
1822719,0
1822720,1
1822720,1
1822721,4
1822721,4
1822722,0
1822722,0
1822723,0
1822723,0
1822724,2
1822724,2
1822727,4
1822727,4
1822729,0
1822729,0
1822730,4
1822730,4
1822732,3
1822732,3
1822734,4
1822734,4
1822735,3
1822735,3
1822737,2
1822737,2
1822738,1
1822738,1
1822740,0
1822740,0
1822741,0
1822741,0
1822742,4
1822742,4
1822743,2
1822743,2
1822744,3
1822744,3
1822745,1
1822745,1
1822747,3
1822747,3
1822748,2
1822748,2
1822749,1
1822749,1
1822750,3
1822750,3
1822751,3
1822751,3
1822752,0
1822752,0
1822753,4
1822753,4
1822796,1
1822796,1
